ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Cluster_ID	Clustering_Reference	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of	Composed_primarily_of	Comment	Aliases	Rank
ID	LABEL	A skos:prefLabel	TI %	TYPE	I 'subcluster of' SPLIT=|	A oboInOwl:hasExactSynonym SPLIT=|	A 'cluster id'	>AI oboInOwl:hasDbXref	TI capable_of some %	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	TI 'exemplar data of' some %	TI 'composed primarily of' some %	A rdfs:comment	A oboInOwl:hasRelatedSynonym SPLIT=|	A 'cell_type_rank' SPLIT=|
PCL_INDV:CS202210140_270	HumanBrain 0270 - CS202210140_270	LLC_269	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_270	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_269		HumanBrain 0270			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051270				
PCL_INDV:CS202210140_271	HumanBrain 0271 - CS202210140_271	LLC_270	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_271	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_270		HumanBrain 0271			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051271				
PCL_INDV:CS202210140_272	HumanBrain 0272 - CS202210140_272	LLC_271	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_272	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_271		HumanBrain 0272			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051272				
PCL_INDV:CS202210140_273	HumanBrain 0273 - CS202210140_273	LLC_272	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_273	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_272		HumanBrain 0273			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051273				
PCL_INDV:CS202210140_274	HumanBrain 0274 - CS202210140_274	LLC_273	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_274	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_273		HumanBrain 0274			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051274				
PCL_INDV:CS202210140_275	HumanBrain 0275 - CS202210140_275	LLC_274	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_275	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_274		HumanBrain 0275			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051275				
PCL_INDV:CS202210140_276	HumanBrain 0276 - CS202210140_276	LLC_275	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_276	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_275		HumanBrain 0276			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051276				
PCL_INDV:CS202210140_277	HumanBrain 0277 - CS202210140_277	CGE_276	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_277	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_276		HumanBrain 0277			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051277				
PCL_INDV:CS202210140_278	HumanBrain 0278 - CS202210140_278	CGE_277	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_278	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_277		HumanBrain 0278			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051278				
PCL_INDV:CS202210140_279	HumanBrain 0279 - CS202210140_279	CGE_278	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_279	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_278		HumanBrain 0279			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051279				
PCL_INDV:CS202210140_280	HumanBrain 0280 - CS202210140_280	CGE_279	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_280	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_279		HumanBrain 0280			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051280				
PCL_INDV:CS202210140_281	HumanBrain 0281 - CS202210140_281	CGE_280	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_281	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_280		HumanBrain 0281			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051281				
PCL_INDV:CS202210140_282	HumanBrain 0282 - CS202210140_282	CGE_281	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_282	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_281		HumanBrain 0282			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051282				
PCL_INDV:CS202210140_283	HumanBrain 0283 - CS202210140_283	CGE_282	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_283	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_282		HumanBrain 0283			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051283				
PCL_INDV:CS202210140_284	HumanBrain 0284 - CS202210140_284	CGE_283	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_284	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_283		HumanBrain 0284			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051284				
PCL_INDV:CS202210140_285	HumanBrain 0285 - CS202210140_285	CGE_284	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_285	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_284		HumanBrain 0285			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051285				
PCL_INDV:CS202210140_286	HumanBrain 0286 - CS202210140_286	CGE_285	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_286	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_285		HumanBrain 0286			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051286				
PCL_INDV:CS202210140_287	HumanBrain 0287 - CS202210140_287	CGE_286	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_287	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_286		HumanBrain 0287			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051287				
PCL_INDV:CS202210140_288	HumanBrain 0288 - CS202210140_288	CGE_287	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_288	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_287		HumanBrain 0288			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051288				
PCL_INDV:CS202210140_289	HumanBrain 0289 - CS202210140_289	CGE_288	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_289	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_288		HumanBrain 0289			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051289				
PCL_INDV:CS202210140_290	HumanBrain 0290 - CS202210140_290	CGE_289	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_290	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_289		HumanBrain 0290			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051290				
PCL_INDV:CS202210140_291	HumanBrain 0291 - CS202210140_291	CGE_290	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_291	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_290		HumanBrain 0291			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051291				
PCL_INDV:CS202210140_292	HumanBrain 0292 - CS202210140_292	CGE_291	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_292	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_291		HumanBrain 0292			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051292				
PCL_INDV:CS202210140_293	HumanBrain 0293 - CS202210140_293	CGE_292	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_293	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_292		HumanBrain 0293			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051293				
PCL_INDV:CS202210140_294	HumanBrain 0294 - CS202210140_294	CGE_293	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_294	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_293		HumanBrain 0294			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051294				
PCL_INDV:CS202210140_295	HumanBrain 0295 - CS202210140_295	CGE_294	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_486		CS202210140_295	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		CGE_294		HumanBrain 0295			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051295				
