defined_class	Marker_set_of	Minimal_markers	Brain_region_abbv	Species_abbv	Brain_region	Parent	FBeta_confidence_score
http://purl.obolibrary.org/obo/PCL_0052601	DLCT6b_100	ensembl:ENSG00000112902|ensembl:ENSG00000137573|ensembl:ENSG00000171509|ensembl:ENSG00000250125	Hsap	Human	HBA:4005	SO:0001260	0.4216507177033493
http://purl.obolibrary.org/obo/PCL_0052602	DLCT6b_101	ensembl:ENSG00000237928|ensembl:ENSG00000259846|ensembl:ENSG00000288016	Hsap	Human	HBA:4005	SO:0001260	0.49857549857549854
http://purl.obolibrary.org/obo/PCL_0052603	DLCT6b_102	ensembl:ENSG00000178031|ensembl:ENSG00000225539|ensembl:ENSG00000225649|ensembl:ENSG00000259846	Hsap	Human	HBA:4005	SO:0001260	0.510752688172043
http://purl.obolibrary.org/obo/PCL_0052604	DLCT6b_103	ensembl:ENSG00000116711|ensembl:ENSG00000118523|ensembl:ENSG00000259846	Hsap	Human	HBA:4005	SO:0001260	0.5304276315789475
http://purl.obolibrary.org/obo/PCL_0052605	DLCT6b_104	ensembl:ENSG00000132274|ensembl:ENSG00000259846	Hsap	Human	HBA:4005	SO:0001260	0.576036866359447
http://purl.obolibrary.org/obo/PCL_0052606	DLCT6b_105	ensembl:ENSG00000118523|ensembl:ENSG00000233423|ensembl:ENSG00000233882	Hsap	Human	HBA:4005	SO:0001260	0.4606681034482759
http://purl.obolibrary.org/obo/PCL_0052607	DLCT6b_106	ensembl:ENSG00000151617|ensembl:ENSG00000249429|ensembl:ENSG00000288004	Hsap	Human	HBA:4005	SO:0001260	0.55103550295858
http://purl.obolibrary.org/obo/PCL_0052608	DLCT6b_107	ensembl:ENSG00000134207|ensembl:ENSG00000137809	Hsap	Human	HBA:4005	SO:0001260	0.7285031847133757
http://purl.obolibrary.org/obo/PCL_0052609	DLCT6b_108	ensembl:ENSG00000170381|ensembl:ENSG00000178031|ensembl:ENSG00000225539|ensembl:ENSG00000249881|ensembl:ENSG00000254092	Hsap	Human	HBA:4005	SO:0001260	0.3262362637362637
http://purl.obolibrary.org/obo/PCL_0052610	DLCT6b_109	ensembl:ENSG00000225539|ensembl:ENSG00000228358|ensembl:ENSG00000239498|ensembl:ENSG00000253199|ensembl:ENSG00000254092	Hsap	Human	HBA:4005	SO:0001260	0.2567675159235669
http://purl.obolibrary.org/obo/PCL_0052611	DLCT6b_110	ensembl:ENSG00000105974|ensembl:ENSG00000132274|ensembl:ENSG00000137573|ensembl:ENSG00000286481	Hsap	Human	HBA:4005	SO:0001260	0.5051369863013698
http://purl.obolibrary.org/obo/PCL_0052612	DLCT6b_111	ensembl:ENSG00000137573|ensembl:ENSG00000164616|ensembl:ENSG00000224982|ensembl:ENSG00000268089	Hsap	Human	HBA:4005	SO:0001260	0.5448717948717948
http://purl.obolibrary.org/obo/PCL_0052613	DLCT6b_112	ensembl:ENSG00000137573|ensembl:ENSG00000235531|ensembl:ENSG00000259846	Hsap	Human	HBA:4005	SO:0001260	0.38636363636363635
http://purl.obolibrary.org/obo/PCL_0052616	L5ET_115	ensembl:ENSG00000126545|ensembl:ENSG00000229807	Hsap	Human	HBA:4005	SO:0001260	0.6842105263157896
http://purl.obolibrary.org/obo/PCL_0052620	CA13_119	ensembl:ENSG00000259417|ensembl:ENSG00000283384	Hsap	Human	HBA:4005	SO:0001260	0.7757352941176471
http://purl.obolibrary.org/obo/PCL_0052621	ULIT_120	ensembl:ENSG00000065325|ensembl:ENSG00000075223|ensembl:ENSG00000137672|ensembl:ENSG00000236922	Hsap	Human	HBA:4005	SO:0001260	0.3560371517027863
http://purl.obolibrary.org/obo/PCL_0052622	ULIT_121	ensembl:ENSG00000125869|ensembl:ENSG00000139865|ensembl:ENSG00000215559|ensembl:ENSG00000229618|ensembl:ENSG00000255595	Hsap	Human	HBA:4005	SO:0001260	0.37234042553191493
http://purl.obolibrary.org/obo/PCL_0052623	ULIT_122	ensembl:ENSG00000170962|ensembl:ENSG00000256193|ensembl:ENSG00000258583	Hsap	Human	HBA:4005	SO:0001260	0.4526869158878504
http://purl.obolibrary.org/obo/PCL_0052624	ULIT_123	ensembl:ENSG00000170962|ensembl:ENSG00000224271|ensembl:ENSG00000228358|ensembl:ENSG00000257986	Hsap	Human	HBA:4005	SO:0001260	0.30027173913043476
http://purl.obolibrary.org/obo/PCL_0052625	ULIT_124	ensembl:ENSG00000250137|ensembl:ENSG00000256971|ensembl:ENSG00000257986|ensembl:ENSG00000287474	Hsap	Human	HBA:4005	SO:0001260	0.3533878504672897
http://purl.obolibrary.org/obo/PCL_0052626	ULIT_125	ensembl:ENSG00000232973|ensembl:ENSG00000248673|ensembl:ENSG00000257986|ensembl:ENSG00000287474	Hsap	Human	HBA:4005	SO:0001260	0.26032702237521516
http://purl.obolibrary.org/obo/PCL_0052627	ULIT_126	ensembl:ENSG00000229425|ensembl:ENSG00000288016|ensembl:ENSG00000288102	Hsap	Human	HBA:4005	SO:0001260	0.4145244215938303
http://purl.obolibrary.org/obo/PCL_0052628	ULIT_127	ensembl:ENSG00000227835|ensembl:ENSG00000229425|ensembl:ENSG00000288016	Hsap	Human	HBA:4005	SO:0001260	0.5408388520971301
http://purl.obolibrary.org/obo/PCL_0052629	ULIT_128	ensembl:ENSG00000196569|ensembl:ENSG00000204262|ensembl:ENSG00000254101|ensembl:ENSG00000287149	Hsap	Human	HBA:4005	SO:0001260	0.47997237569060774
http://purl.obolibrary.org/obo/PCL_0052630	ULIT_129	ensembl:ENSG00000231023|ensembl:ENSG00000249429|ensembl:ENSG00000258859	Hsap	Human	HBA:4005	SO:0001260	0.43918918918918914
http://purl.obolibrary.org/obo/PCL_0052631	ULIT_130	ensembl:ENSG00000204262|ensembl:ENSG00000224271|ensembl:ENSG00000258859|ensembl:ENSG00000287677	Hsap	Human	HBA:4005	SO:0001260	0.3368055555555556
http://purl.obolibrary.org/obo/PCL_0052632	ULIT_131	ensembl:ENSG00000224271|ensembl:ENSG00000233005|ensembl:ENSG00000257986	Hsap	Human	HBA:4005	SO:0001260	0.5802180685358255
http://purl.obolibrary.org/obo/PCL_0052634	ULIT_133	ensembl:ENSG00000106536|ensembl:ENSG00000138741|ensembl:ENSG00000140470|ensembl:ENSG00000198963	Hsap	Human	HBA:4005	SO:0001260	0.561377245508982
http://purl.obolibrary.org/obo/PCL_0052635	ULIT_134	ensembl:ENSG00000106018|ensembl:ENSG00000249881|ensembl:ENSG00000286312	Hsap	Human	HBA:4005	SO:0001260	0.5213903743315508
http://purl.obolibrary.org/obo/PCL_0052636	ULIT_135	ensembl:ENSG00000169436|ensembl:ENSG00000223812|ensembl:ENSG00000259048	Hsap	Human	HBA:4005	SO:0001260	0.45223577235772355
http://purl.obolibrary.org/obo/PCL_0052637	DLIT_136	ensembl:ENSG00000256995|ensembl:ENSG00000287989	Hsap	Human	HBA:4005	SO:0001260	0.49999999999999994
http://purl.obolibrary.org/obo/PCL_0052638	DLIT_137	ensembl:ENSG00000248431|ensembl:ENSG00000250974|ensembl:ENSG00000287176	Hsap	Human	HBA:4005	SO:0001260	0.5751811594202898
http://purl.obolibrary.org/obo/PCL_0052639	ULIT_138	ensembl:ENSG00000257986|ensembl:ENSG00000287172|ensembl:ENSG00000287989	Hsap	Human	HBA:4005	SO:0001260	0.6065573770491802
http://purl.obolibrary.org/obo/PCL_0052640	DLIT_139	ensembl:ENSG00000248431|ensembl:ENSG00000250723	Hsap	Human	HBA:4005	SO:0001260	0.4672897196261682
http://purl.obolibrary.org/obo/PCL_0052641	DLIT_140	ensembl:ENSG00000228358|ensembl:ENSG00000249881|ensembl:ENSG00000250723|ensembl:ENSG00000287172	Hsap	Human	HBA:4005	SO:0001260	0.5511811023622046
http://purl.obolibrary.org/obo/PCL_0052642	DLIT_141	ensembl:ENSG00000168743|ensembl:ENSG00000198963|ensembl:ENSG00000287172|ensembl:ENSG00000287424	Hsap	Human	HBA:4005	SO:0001260	0.668103448275862
http://purl.obolibrary.org/obo/PCL_0052643	DLIT_142	ensembl:ENSG00000172673|ensembl:ENSG00000253693|ensembl:ENSG00000287176	Hsap	Human	HBA:4005	SO:0001260	0.4746835443037975
http://purl.obolibrary.org/obo/PCL_0052644	DLIT_143	ensembl:ENSG00000170293|ensembl:ENSG00000225539|ensembl:ENSG00000248431	Hsap	Human	HBA:4005	SO:0001260	0.4532967032967033
